Location,Year,TFR
Gujarat,2009,2.5
Gujarat,2010,2.5
Gujarat,2011,2.4000000953674316
Gujarat,2012,2.299999952316284
Gujarat,2013,2.299999952316284
Gujarat,2014,2.299999952316284
Gujarat,2015,2.200000047683716
Gujarat,2016,2.200000047683716
Gujarat,2017,2.200000047683716
Gujarat,2018,2.0999999046325684
Gujarat,2019,2.0999999046325684
Gujarat,2020,2
Gujarat,2021,2
Gujarat,2022,1.899999976158142
Gujarat,2023,1.7999999523162842
Haryana,1971,6.699999809265137
Haryana,1972,6.599999904632568
Haryana,1973,6.400000095367432
Haryana,1974,6.199999809265137
Haryana,1975,5.800000190734863
Haryana,1976,5.199999809265137
Haryana,1977,4.900000095367432
Haryana,1978,4.699999809265137
Haryana,1979,5.199999809265137
Haryana,1980,5.199999809265137
Haryana,1981,5
Haryana,1982,4.900000095367432
Haryana,1983,4.800000190734863
Haryana,1984,5
Haryana,1985,4.599999904632568
Haryana,1986,4.400000095367432
Haryana,1987,4.300000190734863
Haryana,1988,4.199999809265137
Haryana,1989,4.400000095367432
Haryana,1990,3.799999952316284
Haryana,1991,4
Haryana,1992,3.799999952316284
Haryana,1993,3.700000047683716
Haryana,1994,3.700000047683716
Haryana,1995,3.700000047683716
Haryana,1996,3.5
Haryana,1997,3.4000000953674316
Haryana,1998,3.299999952316284
Haryana,1999,3.200000047683716
Haryana,2000,3.200000047683716
Haryana,2001,3.0999999046325684
Haryana,2002,3.0999999046325684
Haryana,2003,3
Haryana,2004,3
Haryana,2005,2.799999952316284
Haryana,2006,2.700000047683716
Haryana,2007,2.5999999046325684
Haryana,2008,2.5
Haryana,2009,2.5
Haryana,2010,2.299999952316284
Haryana,2011,2.299999952316284
Haryana,2012,2.299999952316284
Haryana,2013,2.200000047683716
Haryana,2014,2.299999952316284
Haryana,2015,2.200000047683716
Haryana,2016,2.299999952316284
Haryana,2017,2.200000047683716
Haryana,2018,2.200000047683716
Haryana,2019,2.0999999046325684
Haryana,2020,2
Haryana,2021,2
Haryana,2022,2
Haryana,2023,1.899999976158142
Himachal Pradesh,2014,1.7000000476837158
Himachal Pradesh,2015,1.7000000476837158
Himachal Pradesh,2016,1.7000000476837158
Himachal Pradesh,2017,1.600000023841858
Himachal Pradesh,2018,1.600000023841858
Himachal Pradesh,2019,1.600000023841858
Himachal Pradesh,2020,1.5
Himachal Pradesh,2021,1.600000023841858
Himachal Pradesh,2022,1.5
Himachal Pradesh,2023,1.600000023841858
India,1971,5.199999809265137
India,1972,5.199999809265137
India,1973,4.900000095367432
India,1974,4.900000095367432
India,1975,4.900000095367432
India,1976,4.699999809265137
India,1977,4.5
India,1978,4.5
India,1979,4.400000095367432
India,1980,4.400000095367432
India,1981,4.5
India,1982,4.5
India,1983,4.5
India,1984,4.5
India,1985,4.300000190734863
India,1986,4.199999809265137
India,1987,4.099999904632568
India,1988,4
India,1989,3.9000000953674316
India,1990,3.799999952316284
India,1991,3.5999999046325684
India,1992,3.5999999046325684
India,1993,3.5
India,1994,3.5
India,1995,3.5
India,1996,3.4000000953674316
India,1997,3.299999952316284
India,1998,3.200000047683716
India,1999,3.200000047683716
India,2000,3.200000047683716
India,2001,3.0999999046325684
India,2002,3
India,2003,3
India,2004,2.9000000953674316
India,2005,2.9000000953674316
India,2006,2.799999952316284
India,2007,2.700000047683716
India,2008,2.5999999046325684
India,2009,2.5999999046325684
India,2010,2.5
India,2011,2.4000000953674316
India,2012,2.4000000953674316
India,2013,2.299999952316284
India,2014,2.299999952316284
India,2015,2.299999952316284
India,2016,2.299999952316284
India,2017,2.200000047683716
India,2018,2.200000047683716
India,2019,2.0999999046325684
India,2020,2
India,2021,2
India,2022,2
India,2023,1.899999976158142
Jammu & Kashmir,2004,2.4000000953674316
Jammu & Kashmir,2005,2.4000000953674316
Jammu & Kashmir,2006,2.299999952316284
Jammu & Kashmir,2007,2.299999952316284
Jammu & Kashmir,2008,2.200000047683716
Jammu & Kashmir,2009,2.200000047683716
Jammu & Kashmir,2010,2
Jammu & Kashmir,2011,1.899999976158142
Jammu & Kashmir,2012,1.899999976158142
Jammu & Kashmir,2013,1.899999976158142
Jammu & Kashmir,2014,1.7000000476837158
Jammu & Kashmir,2015,1.600000023841858
Jammu & Kashmir,2016,1.7000000476837158
Jammu & Kashmir,2017,1.600000023841858
Jammu & Kashmir,2018,1.600000023841858
Jammu & Kashmir,2019,1.5
Jammu & Kashmir,2020,1.5
Jammu & Kashmir,2021,1.5
Jammu & Kashmir,2022,1.600000023841858
Jammu & Kashmir,2023,1.5
Jharkhand,2004,3.5
Jharkhand,2005,3.5
Jharkhand,2006,3.4000000953674316
Jharkhand,2007,3.200000047683716
Jharkhand,2008,3.200000047683716
Jharkhand,2009,3.200000047683716
Jharkhand,2010,3
Jharkhand,2011,2.9000000953674316
Jharkhand,2012,2.799999952316284
Jharkhand,2013,2.700000047683716
Jharkhand,2014,2.799999952316284
Jharkhand,2015,2.700000047683716
Jharkhand,2016,2.5999999046325684
Jharkhand,2017,2.5
Jharkhand,2018,2.5
Jharkhand,2019,2.4000000953674316
Jharkhand,2020,2.4000000953674316
Jharkhand,2021,2.299999952316284
Jharkhand,2022,2.200000047683716
Jharkhand,2023,2.0999999046325684
Karnataka,1971,4.400000095367432
Karnataka,1972,4.300000190734863
Karnataka,1973,3.9000000953674316
Karnataka,1974,3.700000047683716
Karnataka,1975,3.700000047683716
Karnataka,1976,3.799999952316284
Karnataka,1977,3.5999999046325684
Karnataka,1978,3.799999952316284
Karnataka,1979,3.5999999046325684
Karnataka,1980,3.5
Karnataka,1981,3.5999999046325684
Karnataka,1982,3.5999999046325684
Karnataka,1983,3.700000047683716
Karnataka,1984,3.799999952316284
Karnataka,1985,3.5999999046325684
Karnataka,1986,3.5
Karnataka,1987,3.4000000953674316
Karnataka,1988,3.4000000953674316
Karnataka,1989,3.299999952316284
Karnataka,1990,3.200000047683716
Karnataka,1991,3.0999999046325684
Karnataka,1992,2.9000000953674316
Karnataka,1993,2.9000000953674316
Karnataka,1994,2.799999952316284
Karnataka,1995,2.700000047683716
Karnataka,1996,2.5999999046325684
Karnataka,1997,2.5
Karnataka,1998,2.4000000953674316
Karnataka,1999,2.5
Karnataka,2000,2.4000000953674316
Karnataka,2001,2.4000000953674316
Karnataka,2002,2.4000000953674316
Karnataka,2003,2.299999952316284
Karnataka,2004,2.299999952316284
Karnataka,2005,2.200000047683716
Karnataka,2006,2.0999999046325684
Karnataka,2007,2.0999999046325684
Karnataka,2008,2
Karnataka,2009,2
Karnataka,2010,2
Karnataka,2011,1.899999976158142
Karnataka,2012,1.899999976158142
Karnataka,2013,1.899999976158142
Karnataka,2014,1.7999999523162842
Karnataka,2015,1.7999999523162842
Karnataka,2016,1.7999999523162842
Karnataka,2017,1.7000000476837158
Karnataka,2018,1.7000000476837158
Karnataka,2019,1.7000000476837158
Karnataka,2020,1.600000023841858
Karnataka,2021,1.600000023841858
Karnataka,2022,1.600000023841858
Karnataka,2023,1.5
Kerala,1971,4.099999904632568
Kerala,1972,4.099999904632568
Kerala,1973,3.799999952316284
Kerala,1974,3.299999952316284
Kerala,1975,3.4000000953674316
Kerala,1976,3.4000000953674316
Kerala,1977,3
Kerala,1978,2.9000000953674316
Kerala,1979,3
Kerala,1980,3
Kerala,1981,2.799999952316284
Kerala,1982,2.9000000953674316
Kerala,1983,2.5999999046325684
Kerala,1984,2.4000000953674316
Kerala,1985,2.4000000953674316
Kerala,1986,2.299999952316284
Kerala,1987,2.200000047683716
Kerala,1988,2
Kerala,1989,2
Kerala,1990,1.899999976158142
Kerala,1991,1.7999999523162842
Kerala,1992,1.7000000476837158
Kerala,1993,1.7000000476837158
Kerala,1994,1.7000000476837158
Kerala,1995,1.7999999523162842
Kerala,1996,1.7999999523162842
Kerala,1997,1.7999999523162842
Kerala,1998,1.7999999523162842
Kerala,1999,1.7999999523162842
Kerala,2000,1.899999976158142
Kerala,2001,1.7999999523162842
Kerala,2002,1.7999999523162842
Kerala,2003,1.7999999523162842
Kerala,2004,1.7000000476837158
Kerala,2005,1.7000000476837158
Kerala,2006,1.7000000476837158
Kerala,2007,1.7000000476837158
Kerala,2008,1.7000000476837158
Kerala,2009,1.7000000476837158
Kerala,2010,1.7999999523162842
Kerala,2011,1.7999999523162842
Kerala,2012,1.7999999523162842
Kerala,2013,1.7999999523162842
Kerala,2014,1.899999976158142
Kerala,2015,1.7999999523162842
Kerala,2016,1.7999999523162842
Kerala,2017,1.7000000476837158
Kerala,2018,1.7000000476837158
Kerala,2019,1.600000023841858
Kerala,2020,1.5
Kerala,2021,1.5
Kerala,2022,1.5
Kerala,2023,1.5
Madhya Pradesh,1971,5.599999904632568
Madhya Pradesh,1972,5.900000095367432
Madhya Pradesh,1973,5.5
Madhya Pradesh,1974,5.400000095367432
Madhya Pradesh,1975,6
Madhya Pradesh,1976,5.800000190734863
Madhya Pradesh,1977,5.5
Madhya Pradesh,1978,5.300000190734863
Madhya Pradesh,1979,5.400000095367432
Madhya Pradesh,1980,5.199999809265137
Madhya Pradesh,1981,5.199999809265137
Madhya Pradesh,1982,5.300000190734863
Madhya Pradesh,1983,5.199999809265137
Madhya Pradesh,1984,5.099999904632568
Madhya Pradesh,1985,4.599999904632568
Madhya Pradesh,1986,4.900000095367432
Madhya Pradesh,1987,4.699999809265137
Madhya Pradesh,1988,4.699999809265137
Madhya Pradesh,1989,4.699999809265137
Madhya Pradesh,1990,4.800000190734863
Madhya Pradesh,1991,4.599999904632568
Madhya Pradesh,1992,4.400000095367432
Madhya Pradesh,1993,4.199999809265137
Madhya Pradesh,1994,4.199999809265137
Madhya Pradesh,1995,4.199999809265137
Madhya Pradesh,1996,4.099999904632568
Madhya Pradesh,1997,4
Madhya Pradesh,1998,3.9000000953674316
Madhya Pradesh,1999,3.9000000953674316
Madhya Pradesh,2000,4
Madhya Pradesh,2001,3.9000000953674316
Madhya Pradesh,2002,3.799999952316284
Madhya Pradesh,2003,3.799999952316284
Madhya Pradesh,2004,3.700000047683716
Madhya Pradesh,2005,3.5999999046325684
Madhya Pradesh,2006,3.5
Madhya Pradesh,2007,3.4000000953674316
Madhya Pradesh,2008,3.299999952316284
Madhya Pradesh,2009,3.299999952316284
Madhya Pradesh,2010,3.200000047683716
Madhya Pradesh,2011,3.0999999046325684
Madhya Pradesh,2012,2.9000000953674316
Madhya Pradesh,2013,2.9000000953674316
Madhya Pradesh,2014,2.799999952316284
Madhya Pradesh,2015,2.799999952316284
Madhya Pradesh,2016,2.799999952316284
Madhya Pradesh,2017,2.700000047683716
Madhya Pradesh,2018,2.700000047683716
Madhya Pradesh,2019,2.700000047683716
Madhya Pradesh,2020,2.5999999046325684
Madhya Pradesh,2021,2.5999999046325684
Madhya Pradesh,2022,2.5
Madhya Pradesh,2023,2.4000000953674316
Maharashtra,1972,4.5
Maharashtra,1973,3.9000000953674316
Maharashtra,1974,4.099999904632568
Maharashtra,1975,4.400000095367432
Maharashtra,1976,3.9000000953674316
Maharashtra,1977,3.4000000953674316
Maharashtra,1978,3.5
Maharashtra,1979,3.5
Maharashtra,1980,3.700000047683716
Maharashtra,1981,3.5999999046325684
Maharashtra,1982,3.799999952316284
Maharashtra,1983,3.700000047683716
Maharashtra,1984,3.799999952316284
Maharashtra,1985,3.5
Maharashtra,1986,3.5999999046325684
Maharashtra,1987,3.5
Maharashtra,1988,3.5
Maharashtra,1989,3.4000000953674316
Maharashtra,1990,3.200000047683716
Maharashtra,1991,3
Maharashtra,1992,2.9000000953674316
Maharashtra,1993,2.9000000953674316
Maharashtra,1994,2.9000000953674316
Maharashtra,1995,2.9000000953674316
Maharashtra,1996,2.799999952316284
Maharashtra,1997,2.700000047683716
Maharashtra,1998,2.700000047683716
Maharashtra,1999,2.5
Maharashtra,2000,2.5
Maharashtra,2001,2.4000000953674316
Maharashtra,2002,2.299999952316284
Maharashtra,2003,2.299999952316284
Maharashtra,2004,2.200000047683716
Maharashtra,2005,2.200000047683716
Maharashtra,2006,2.0999999046325684
Maharashtra,2007,2
Maharashtra,2008,2
Maharashtra,2009,1.899999976158142
Maharashtra,2010,1.899999976158142
Maharashtra,2011,1.7999999523162842
Maharashtra,2012,1.7999999523162842
Maharashtra,2013,1.7999999523162842
Maharashtra,2014,1.7999999523162842
Maharashtra,2015,1.7999999523162842
Maharashtra,2016,1.7999999523162842
Maharashtra,2017,1.7000000476837158
Maharashtra,2018,1.7000000476837158
Maharashtra,2019,1.600000023841858
Maharashtra,2020,1.5
Maharashtra,2021,1.5
Maharashtra,2022,1.5
Maharashtra,2023,1.399999976158142
Odisha,1972,4.599999904632568
Odisha,1973,4.800000190734863
Odisha,1974,4.699999809265137
Odisha,1975,4.599999904632568
Odisha,1976,4.699999809265137
Odisha,1977,4
Odisha,1978,4.5
Odisha,1979,4.099999904632568
Odisha,1980,4.099999904632568
Odisha,1981,4.300000190734863
Odisha,1982,4.300000190734863
Odisha,1983,4.5
Odisha,1984,4.300000190734863
Odisha,1985,3.799999952316284
Odisha,1986,4.199999809265137
Odisha,1987,3.700000047683716
Odisha,1988,3.799999952316284
Odisha,1989,3.5999999046325684
Odisha,1990,3.5
Odisha,1991,3.299999952316284
Odisha,1992,3.0999999046325684
Odisha,1993,3.0999999046325684
Odisha,1994,3.299999952316284
Odisha,1995,3.299999952316284
Odisha,1996,3.0999999046325684
Odisha,1997,3
Odisha,1998,2.9000000953674316
Odisha,1999,2.700000047683716
Odisha,2000,2.799999952316284
Odisha,2001,2.5999999046325684
Odisha,2002,2.5999999046325684
Odisha,2003,2.5999999046325684
Odisha,2004,2.700000047683716
Odisha,2005,2.5999999046325684
Odisha,2006,2.5
Odisha,2007,2.4000000953674316
Odisha,2008,2.4000000953674316
Odisha,2009,2.4000000953674316
Odisha,2010,2.299999952316284
Odisha,2011,2.200000047683716
Odisha,2012,2.0999999046325684
Odisha,2013,2.0999999046325684
Odisha,2014,2.0999999046325684
Odisha,2015,2
Odisha,2016,2
Odisha,2017,1.899999976158142
Odisha,2018,1.899999976158142
Odisha,2019,1.7999999523162842
Odisha,2020,1.7999999523162842
Odisha,2021,1.7999999523162842
Odisha,2022,1.7000000476837158
Odisha,2023,1.7000000476837158
Punjab,1972,5.300000190734863
Punjab,1973,5.099999904632568
Punjab,1974,4.800000190734863
Punjab,1975,4.699999809265137
Punjab,1976,4.800000190734863
Punjab,1977,4.400000095367432
Punjab,1978,4
Punjab,1979,3.700000047683716
Punjab,1980,4
Punjab,1981,4
Punjab,1982,4
Punjab,1983,4
Punjab,1984,3.799999952316284
Punjab,1985,3.5
Punjab,1986,3.4000000953674316
Punjab,1987,3.4000000953674316
Punjab,1988,3.4000000953674316
Punjab,1989,3.299999952316284
Punjab,1990,3.200000047683716
Punjab,1991,3.0999999046325684
Punjab,1992,3.0999999046325684
Punjab,1993,3
Punjab,1994,2.9000000953674316
Punjab,1995,2.9000000953674316
Punjab,1996,2.799999952316284
Punjab,1997,2.700000047683716
Punjab,1998,2.5999999046325684
Punjab,1999,2.5
Punjab,2000,2.4000000953674316
Punjab,2001,2.4000000953674316
Punjab,2002,2.299999952316284
Punjab,2003,2.299999952316284
Punjab,2004,2.200000047683716
Punjab,2005,2.0999999046325684
Punjab,2006,2.0999999046325684
Punjab,2007,2
Punjab,2008,1.899999976158142
Punjab,2009,1.899999976158142
Punjab,2010,1.7999999523162842
Punjab,2011,1.7999999523162842
Punjab,2012,1.7000000476837158
Punjab,2013,1.7000000476837158
Punjab,2014,1.7000000476837158
Punjab,2015,1.7000000476837158
Punjab,2016,1.7000000476837158
Punjab,2017,1.600000023841858
Punjab,2018,1.600000023841858
Punjab,2019,1.5
Punjab,2020,1.5
Punjab,2021,1.5
Punjab,2022,1.5
Punjab,2023,1.5
Rajasthan,1973,5.599999904632568
Rajasthan,1974,5.400000095367432
Rajasthan,1975,5.400000095367432
Rajasthan,1976,4.900000095367432
Rajasthan,1977,5
Rajasthan,1978,5.099999904632568
Rajasthan,1979,5.199999809265137
Rajasthan,1980,5.599999904632568
Rajasthan,1981,5.199999809265137
Rajasthan,1982,5.300000190734863
Rajasthan,1983,5.900000095367432
Rajasthan,1984,5.699999809265137
Rajasthan,1985,5.5
Rajasthan,1986,5
Rajasthan,1987,4.800000190734863
Rajasthan,1988,4.5
Rajasthan,1989,4.699999809265137
Rajasthan,1990,4.5
Rajasthan,1991,4.599999904632568
Rajasthan,1992,4.5
Rajasthan,1993,4.5
Rajasthan,1994,4.5
Rajasthan,1995,4.400000095367432
Rajasthan,1996,4.199999809265137
Rajasthan,1997,4.199999809265137
Rajasthan,1998,4.099999904632568
Rajasthan,1999,4.199999809265137
Rajasthan,2000,4.099999904632568
Rajasthan,2001,4
Rajasthan,2002,3.9000000953674316
Rajasthan,2003,3.799999952316284
Rajasthan,2004,3.700000047683716
Rajasthan,2005,3.700000047683716
Rajasthan,2006,3.5
Rajasthan,2007,3.4000000953674316
Rajasthan,2008,3.299999952316284
Rajasthan,2009,3.299999952316284
Rajasthan,2010,3.0999999046325684
Rajasthan,2011,3
Rajasthan,2012,2.9000000953674316
Rajasthan,2013,2.799999952316284
Rajasthan,2014,2.799999952316284
Rajasthan,2015,2.700000047683716
Rajasthan,2016,2.700000047683716
Rajasthan,2017,2.5999999046325684
Rajasthan,2018,2.5
Rajasthan,2019,2.5
Rajasthan,2020,2.4000000953674316
Rajasthan,2021,2.4000000953674316
Rajasthan,2022,2.5
Rajasthan,2023,2.299999952316284
Tamil Nadu,1972,3.9000000953674316
Tamil Nadu,1973,3.700000047683716
Tamil Nadu,1974,3.5999999046325684
Tamil Nadu,1975,3.799999952316284
Tamil Nadu,1976,3.799999952316284
Tamil Nadu,1977,3.9000000953674316
Tamil Nadu,1978,3.5
Tamil Nadu,1979,3.5999999046325684
Tamil Nadu,1980,3.4000000953674316
Tamil Nadu,1981,3.4000000953674316
Tamil Nadu,1982,3.299999952316284
Tamil Nadu,1983,3.299999952316284
Tamil Nadu,1984,3.299999952316284
Tamil Nadu,1985,2.799999952316284
Tamil Nadu,1986,2.700000047683716
Tamil Nadu,1987,2.5999999046325684
Tamil Nadu,1988,2.5
Tamil Nadu,1989,2.5
Tamil Nadu,1990,2.299999952316284
Tamil Nadu,1991,2.200000047683716
Tamil Nadu,1992,2.200000047683716
Tamil Nadu,1993,2.0999999046325684
Tamil Nadu,1994,2.0999999046325684
Tamil Nadu,1995,2.200000047683716
Tamil Nadu,1996,2.0999999046325684
Tamil Nadu,1997,2
Tamil Nadu,1998,2
Tamil Nadu,1999,2
Tamil Nadu,2000,2.0999999046325684
Tamil Nadu,2001,2
Tamil Nadu,2002,2
Tamil Nadu,2003,1.899999976158142
Tamil Nadu,2004,1.7999999523162842
Tamil Nadu,2005,1.7000000476837158
Tamil Nadu,2006,1.7000000476837158
Tamil Nadu,2007,1.600000023841858
Tamil Nadu,2008,1.7000000476837158
Tamil Nadu,2009,1.7000000476837158
Tamil Nadu,2010,1.7000000476837158
Tamil Nadu,2011,1.7000000476837158
Tamil Nadu,2012,1.7000000476837158
Tamil Nadu,2013,1.7000000476837158
Tamil Nadu,2014,1.7000000476837158
Tamil Nadu,2015,1.600000023841858
Tamil Nadu,2016,1.600000023841858
Tamil Nadu,2017,1.600000023841858
Tamil Nadu,2018,1.600000023841858
Tamil Nadu,2019,1.5
Tamil Nadu,2020,1.399999976158142
Tamil Nadu,2021,1.5
Tamil Nadu,2022,1.2999999523162842
Tamil Nadu,2023,1.2999999523162842
Telangana,2014,1.7999999523162842
Telangana,2015,1.7999999523162842
Telangana,2016,1.7000000476837158
Telangana,2017,1.7000000476837158
Telangana,2018,1.600000023841858
Telangana,2019,1.600000023841858
Telangana,2020,1.5
Telangana,2021,1.600000023841858
Telangana,2022,1.600000023841858
Telangana,2023,1.5
Uttar Pradesh,1972,6.599999904632568
Uttar Pradesh,1973,6.400000095367432
Uttar Pradesh,1974,6.400000095367432
Uttar Pradesh,1975,6.599999904632568
Uttar Pradesh,1976,5.900000095367432
Uttar Pradesh,1977,6.099999904632568
Uttar Pradesh,1978,6
Uttar Pradesh,1979,5.800000190734863
Uttar Pradesh,1980,5.900000095367432
Uttar Pradesh,1981,5.800000190734863
Uttar Pradesh,1982,5.699999809265137
Uttar Pradesh,1983,5.800000190734863
