Year,Median age at first birth,Median age at last birth,Median age at first marriage
1992,19.399999618530273,32.79999923706055,16.100000381469727
1998,19.399999618530273,30.799999237060547,16.700000762939453
2005,19.799999237060547,28.700000762939453,17.200000762939453
2015,21,27.799999237060547,18.600000381469727
2020,21.200000762939453,27.600000381469727,18.799999237060547
