ID,TP1_JAN,TP1_JULY,MP1_,FP1_,PD1_,PSR_,MA1_,NCB_,RNC_,PC_,PGR_,PAD_
146,1426776,1426437,728193,698244,148.6,104.3,38.0,-298,-0.2,-678,-0.05,
147,1426098,1425180,727091,698089,148.5,104.2,38.5,-1543,-1.1,-1837,-0.13,
148,1424261,1422585,725223,697362,148.2,104.0,39.1,-2784,-2.0,-3352,-0.24,
149,342592,346279,177867,168412,116.5,105.6,20.0,7436,21.5,7373,2.13,32.6
150,349965,353870,181868,172003,119.0,105.7,20.0,7690,21.7,7809,2.21,31.4
151,357775,361875,186091,175784,121.7,105.9,19.9,8034,22.2,8200,2.27,30.6
152,365975,370105,190412,179693,124.5,106.0,19.9,8331,22.5,8259,2.23,31.1
153,374234,378687,194908,183779,127.4,106.1,19.8,8781,23.2,8906,2.35,29.5
154,383140,387701,199634,188067,130.4,106.2,19.7,9051,23.3,9121,2.35,29.5
155,392262,396989,204504,192485,133.5,106.2,19.6,9294,23.4,9455,2.38,29.1
156,401716,406254,209327,196927,136.6,106.3,19.5,9502,23.4,9075,2.23,31.0
157,410792,415777,214294,201483,139.8,106.4,19.4,9679,23.3,9972,2.4,28.9
158,420763,425781,219547,206233,143.2,106.5,19.3,9925,23.3,10035,2.36,29.4
159,430798,435990,224898,211093,146.6,106.5,19.2,10238,23.5,10385,2.38,29.1
160,441183,446565,230447,216117,150.2,106.6,19.1,10469,23.4,10764,2.41,28.7
161,451947,457283,236053,221230,153.8,106.7,18.9,10743,23.5,10673,2.33,29.7
162,462619,468139,241707,226432,157.5,106.7,18.8,11017,23.5,11038,2.36,29.4
163,473658,479230,247475,231755,161.2,106.8,18.6,11286,23.5,11144,2.33,29.8
164,484801,490140,253126,237014,164.9,106.8,18.5,10926,22.3,10677,2.18,31.8
165,495479,500740,258584,242156,168.4,106.8,18.3,11090,22.1,10523,2.1,33.0
166,506002,511606,264193,247414,172.1,106.8,18.2,11280,22.0,11209,2.19,31.6
167,517211,522717,269901,252816,175.8,106.8,18.1,12007,23.0,11012,2.11,32.9
168,528223,533881,275588,258293,179.6,106.7,18.1,12168,22.8,11316,2.12,32.7
169,539538,545864,281785,264079,183.6,106.7,18.1,12418,22.7,12652,2.32,29.9
170,552190,558096,288104,269993,187.7,106.7,18.1,12787,22.9,11813,2.12,32.7
171,564003,570482,294480,276002,191.9,106.7,18.2,13042,22.9,12959,2.27,30.5
172,576962,583466,301203,282262,196.2,106.7,18.2,13413,23.0,13008,2.23,31.1
173,589970,597041,308263,288778,200.8,106.7,18.3,13796,23.1,14144,2.37,29.3
174,604113,611310,315742,295567,205.6,106.8,18.4,13958,22.8,14393,2.36,29.4
175,618506,625862,323366,302496,210.5,106.9,18.5,14436,23.1,14712,2.35,29.5
176,633218,640801,331199,309602,215.5,107.0,18.6,14576,22.7,15166,2.37,29.3
177,648384,655728,338986,316742,220.5,107.0,18.7,14898,22.7,14688,2.24,30.9
178,663072,671156,347037,324118,225.7,107.1,18.8,15393,22.9,16167,2.41,28.8
179,679239,687354,355513,331841,231.2,107.1,18.9,16018,23.3,16229,2.36,29.4
180,695469,703696,364008,339688,236.7,107.2,19.0,16422,23.3,16455,2.34,29.6
181,711924,720313,372617,347696,242.3,107.2,19.0,16790,23.3,16779,2.33,29.7
