ID,TD_,MD_,FD_,CDR_,LEB_,MLE_,FLE_,LEA_15,MLE_15,FLE_15,LEA_65,MLE_65,FLE_65,LEA_80,MLE_80,FLE_80,IDA_,IMR_,LBS_,FDA_5,FM_,MA4_40,MMA_40,FMA_40,MA6_60,MMA_60,FMA_60,MA1_15_50,MMA_15_50,FMA_15_50,MA1_15_60,MMA_15_60,FMA_15_60
53,52758,28068,24690,8.3,67.1,64.6,69.6,58.0,55.5,60.6,15.6,14.2,16.9,7.3,6.5,7.8,6853,50.6,130211.043,9547,71,134,144,124,248,283,211,98,117,79,179,215,141
54,53077,28253,24824,8.3,67.4,65.0,69.9,58.1,55.6,60.7,15.7,14.2,17.0,7.3,6.5,7.8,6626,48.8,130656.983,9200,68,131,140,121,244,279,207,97,116,78,177,214,139
55,53188,28366,24821,8.2,67.7,65.3,70.3,58.3,55.8,60.9,15.9,14.4,17.2,7.5,6.6,8.0,6435,47.2,131663.418,8936,66,128,138,118,241,276,204,97,115,78,176,212,138
56,53390,28538,24852,8.1,68.1,65.7,70.7,58.5,56.0,61.1,15.9,14.5,17.2,7.5,6.6,8.0,6228,45.4,132364.63,8605,63,124,134,114,236,271,198,95,114,76,173,210,135
57,53282,28508,24774,8.0,68.6,66.1,71.2,58.8,56.3,61.4,16.1,14.6,17.4,7.6,6.7,8.1,6036,43.7,133780.853,8294,60,120,130,110,230,265,192,93,111,74,170,206,131
58,53410,28593,24817,7.9,69.0,66.5,71.6,59.0,56.5,61.6,16.2,14.7,17.5,7.6,6.8,8.2,5863,42.0,135352.69,8024,58,117,127,106,224,260,187,91,109,72,166,203,129
59,53987,28905,25082,7.9,69.3,66.8,71.9,59.2,56.6,61.7,16.3,14.8,17.6,7.6,6.8,8.2,5721,40.4,137260.296,7821,56,114,124,104,221,257,185,90,108,71,165,201,128
60,54123,29070,25052,7.8,69.7,67.1,72.3,59.4,56.8,62.0,16.4,15.0,17.7,7.7,6.9,8.3,5584,39.1,138557.078,7625,54,111,122,100,217,252,180,88,106,69,162,198,125
61,54269,29089,25179,7.7,70.1,67.6,72.7,59.6,57.1,62.2,16.5,15.1,17.8,7.8,6.9,8.3,5405,37.7,139066.748,7351,52,107,117,97,211,246,176,85,103,68,159,194,122
62,54581,29313,25268,7.7,70.4,67.9,73.0,59.8,57.3,62.4,16.7,15.2,18.0,7.8,7.0,8.4,5290,36.8,139666.421,7213,50,105,115,94,208,242,172,83,100,66,156,191,120
63,54795,29433,25362,7.6,70.8,68.3,73.4,60.0,57.5,62.6,16.8,15.3,18.1,7.9,7.0,8.4,5097,35.0,141961.3,6899,48,101,111,90,203,236,167,81,98,64,153,188,118
64,55093,29608,25484,7.6,71.1,68.6,73.7,60.2,57.7,62.8,16.9,15.4,18.2,8.0,7.1,8.5,4923,33.9,141052.49,6659,46,98,108,88,199,233,164,80,97,63,151,185,116
65,55545,29900,25646,7.5,71.4,68.9,74.0,60.4,57.9,63.0,17.0,15.5,18.3,8.0,7.2,8.6,4778,32.9,141408.653,6486,45,96,107,86,196,230,162,79,96,62,150,183,115
66,56306,30279,26027,7.5,71.6,69.1,74.2,60.5,58.0,63.1,17.1,15.6,18.4,8.0,7.2,8.6,4638,32.1,140578.028,6298,44,95,105,84,194,227,159,78,95,61,148,181,114
67,56757,30580,26177,7.5,71.9,69.3,74.5,60.7,58.1,63.3,17.2,15.7,18.5,8.1,7.3,8.7,4501,31.1,141189.8,6105,42,92,103,81,191,224,157,77,94,60,147,179,113
68,57572,31082,26490,7.5,72.1,69.5,74.7,60.8,58.2,63.4,17.2,15.7,18.6,8.1,7.3,8.7,4358,30.3,140051.907,5920,41,91,101,79,188,221,154,76,93,59,145,178,111
69,57793,31141,26652,7.5,72.4,69.8,75.0,61.0,58.5,63.6,17.4,15.9,18.7,8.2,7.4,8.8,4182,29.7,136913.362,5649,40,88,98,77,184,216,151,74,91,57,143,174,110
70,58355,31456,26899,7.5,72.6,70.1,75.2,61.1,58.6,63.7,17.4,15.9,18.8,8.3,7.5,8.9,4047,29.2,135270.194,5467,39,86,96,75,182,213,149,73,89,57,141,172,108
71,63546,34553,28994,8.1,71.9,69.3,74.7,60.3,57.7,63.1,16.8,15.2,18.3,7.9,7.0,8.6,3883,28.7,131523.985,5240,38,84,94,73,187,220,152,74,91,57,147,180,112
72,69728,37491,32238,8.8,70.9,68.3,73.5,59.2,56.7,61.8,16.2,14.8,17.5,7.7,6.9,8.3,3788,28.4,130312.512,5107,38,87,98,76,203,238,167,84,102,65,165,199,129
73,62279,33749,28529,7.8,72.6,70.0,75.4,61.0,58.5,63.7,17.3,15.8,18.7,8.2,7.3,8.8,3735,28.2,129379.862,5055,38,84,95,73,180,212,146,73,90,56,140,172,107
74,61652,33384,28267,7.6,73.2,70.5,75.9,61.5,58.9,64.1,17.6,16.0,19.0,8.3,7.4,9.0,3603,27.3,129102.829,4825,36,81,92,70,174,205,140,71,86,54,135,166,103
75,12564,6734,5830,23.1,43.8,42.2,45.7,43.4,41.6,45.6,9.1,8.3,9.9,4.3,4.0,4.5,2738,127.1,20307.233,4172,206,384,397,370,604,644,557,282,309,252,462,514,403
76,12412,6626,5786,22.4,44.6,42.9,46.4,43.9,42.1,45.9,9.2,8.4,10.0,4.3,4.0,4.5,2768,124.7,20209.524,4237,201,373,385,360,591,631,546,273,298,245,451,501,394
77,12460,6653,5806,22.0,45.3,43.7,47.2,44.3,42.5,46.4,9.3,8.4,10.1,4.3,4.0,4.5,2991,122.2,23312.944,4492,195,362,374,349,578,619,533,265,289,238,440,490,384
78,12310,6538,5772,21.3,45.9,44.4,47.7,44.8,43.0,46.8,9.4,8.6,10.2,4.3,4.1,4.5,2941,119.7,22113.536,4485,190,354,364,343,567,605,524,255,278,231,427,475,374
79,12146,6455,5691,20.6,46.8,45.1,48.6,45.2,43.5,47.2,9.5,8.6,10.3,4.3,4.1,4.4,2950,117.8,23339.102,4536,186,342,353,330,554,592,511,248,269,224,417,464,365
80,12148,6502,5646,20.1,47.2,45.5,49.2,45.3,43.4,47.4,9.5,8.5,10.3,4.2,4.0,4.4,2947,114.9,23654.997,4515,180,334,346,321,547,589,501,244,268,219,414,465,359
81,11916,6367,5549,19.3,47.8,46.0,49.8,45.6,43.7,47.7,9.5,8.5,10.4,4.2,3.9,4.4,2791,112.6,22441.416,4347,176,326,338,313,538,579,492,239,262,214,407,456,353
82,11918,6377,5541,18.9,48.4,46.6,50.4,45.9,44.0,48.0,9.5,8.6,10.4,4.2,3.9,4.4,2893,110.2,24977.275,4400,171,318,330,304,529,571,483,233,255,209,400,449,346
83,11705,6276,5429,18.2,48.8,47.0,50.9,46.1,44.1,48.3,9.6,8.5,10.5,4.2,3.9,4.4,2712,107.9,22448.69,4178,166,311,324,297,522,565,475,229,251,204,395,445,340
84,15902,8461,7442,24.4,40.2,38.6,42.0,42.7,40.7,45.0,8.6,7.6,9.4,3.8,3.4,3.9,3348,153.5,18125.904,6167,256,435,449,419,644,683,600,291,323,256,477,532,415
