ID,TD_,MD_,FD_,CDR_,LEB_,MLE_,FLE_,LEA_15,MLE_15,FLE_15,LEA_65,MLE_65,FLE_65,LEA_80,MLE_80,FLE_80,IDA_,IMR_,LBS_,FDA_5,FM_,MA4_40,MMA_40,FMA_40,MA6_60,MMA_60,FMA_60,MA1_15_50,MMA_15_50,FMA_15_50,MA1_15_60,MMA_15_60,FMA_15_60
148,11684,6671,5013,8.2,78.0,75.2,80.9,63.7,61.0,66.6,17.5,15.6,19.3,7.5,6.4,8.4,46,5.1,8860.792,71,7,27,31,21,91,117,64,35,45,25,82,108,55
149,7852,3915,3937,22.7,41.2,41.9,40.4,45.1,45.3,44.8,10.9,10.7,11.1,4.8,4.7,4.8,2675,176.4,13398.256,4269,295,445,427,464,611,605,618,281,271,291,425,424,425
150,7973,3983,3990,22.5,41.6,42.3,40.8,45.1,45.3,44.9,10.9,10.7,11.1,4.8,4.7,4.9,2703,173.7,13756.312,4339,289,440,422,458,607,601,613,280,271,289,423,423,423
151,8049,4027,4022,22.2,42.1,42.8,41.3,45.3,45.5,45.1,11.0,10.8,11.2,4.8,4.7,4.9,2729,170.9,14156.057,4376,282,433,415,452,601,595,607,277,268,286,420,420,420
152,8170,4093,4076,22.1,42.4,43.1,41.7,45.3,45.4,45.1,11.0,10.8,11.2,4.8,4.7,4.9,2761,168.5,14552.228,4420,276,429,412,447,598,593,603,277,269,286,420,421,419
153,8122,4070,4052,21.4,43.2,43.9,42.5,45.8,45.9,45.6,11.1,10.9,11.3,4.8,4.7,4.9,2775,165.3,14944.877,4409,269,417,400,435,585,580,591,268,260,277,409,410,408
154,8169,4095,4074,21.1,43.7,44.4,43.0,46.0,46.1,45.8,11.1,10.9,11.4,4.9,4.7,5.0,2790,162.9,15254.29,4415,263,410,393,429,578,573,584,265,257,273,405,406,404
155,8232,4127,4106,20.7,44.1,44.8,43.4,46.1,46.2,46.0,11.2,10.9,11.4,4.9,4.8,5.0,2803,160.7,15552.523,4423,258,405,388,423,573,568,579,263,255,271,402,403,401
156,8324,4172,4152,20.5,44.4,45.1,43.7,46.2,46.3,46.1,11.2,11.0,11.4,4.9,4.8,5.0,2819,158.9,15841.085,4438,254,401,384,420,570,564,576,261,254,270,400,402,399
157,8374,4195,4179,20.1,44.8,45.5,44.1,46.3,46.4,46.2,11.2,11.0,11.5,4.9,4.8,5.0,2825,157.0,16066.893,4436,250,396,378,415,565,559,571,259,251,267,397,398,396
158,8396,4205,4190,19.7,45.3,46.0,44.5,46.6,46.7,46.5,11.3,11.0,11.6,4.9,4.8,5.0,2831,155.1,16329.633,4425,246,390,372,409,558,552,564,254,246,262,391,392,390
159,8467,4242,4225,19.4,45.6,46.3,44.9,46.8,46.9,46.6,11.3,11.1,11.6,4.9,4.8,5.0,2854,153.4,16693.434,4438,242,385,367,404,553,547,559,251,242,259,388,389,386
160,8586,4305,4281,19.2,45.8,46.5,45.1,46.8,46.9,46.7,11.3,11.1,11.6,4.9,4.9,5.0,2885,152.1,17023.464,4469,239,382,364,401,550,544,556,249,241,258,386,387,385
161,8680,4356,4324,19.0,46.1,46.8,45.4,47.0,47.1,46.9,11.4,11.1,11.6,5.0,4.9,5.0,2911,150.6,17372.439,4493,236,377,360,396,545,540,551,246,238,255,383,384,381
162,8767,4403,4364,18.7,46.5,47.1,45.8,47.2,47.3,47.0,11.4,11.1,11.7,5.0,4.9,5.0,2938,149.2,17715.019,4518,233,373,355,391,541,535,546,243,234,252,379,380,378
163,8871,4459,4413,18.5,46.7,47.3,46.1,47.3,47.4,47.2,11.4,11.2,11.7,5.0,5.0,5.1,2966,147.9,18067.764,4548,230,368,351,387,536,531,542,240,231,249,375,376,375
164,9489,4785,4704,19.4,45.6,46.1,45.0,46.8,46.9,46.8,11.2,11.0,11.5,4.9,4.9,5.0,3126,153.3,18220.39,4856,241,383,367,400,553,549,557,245,238,254,386,388,383
165,9543,4814,4729,19.1,45.9,46.4,45.3,47.0,47.1,47.0,11.2,11.0,11.5,5.0,4.9,5.0,3126,151.9,18436.619,4846,238,378,362,395,548,544,551,241,233,249,381,384,379
166,9610,4848,4762,18.8,46.2,46.7,45.6,47.2,47.3,47.1,11.2,11.0,11.5,5.0,5.0,5.0,3134,150.5,18686.368,4842,235,373,357,390,543,540,547,237,229,245,378,380,375
167,9155,4608,4547,17.5,47.9,48.5,47.3,48.0,48.2,47.8,11.5,11.3,11.7,5.2,5.2,5.2,3004,142.7,19046.576,4555,219,350,333,367,518,514,523,223,214,232,360,361,360
168,9219,4640,4579,17.3,48.3,48.8,47.7,48.2,48.4,48.0,11.5,11.3,11.7,5.2,5.2,5.2,3010,141.2,19270.561,4553,216,344,328,361,513,509,518,218,209,228,356,357,356
169,9287,4676,4611,17.0,48.6,49.1,48.0,48.4,48.6,48.2,11.6,11.4,11.7,5.3,5.3,5.3,3020,139.7,19580.543,4553,213,339,323,356,508,504,513,214,204,223,352,353,352
170,9383,4727,4656,16.8,48.9,49.4,48.3,48.6,48.8,48.4,11.6,11.5,11.8,5.4,5.4,5.4,3045,138.2,20023.195,4570,210,335,318,352,504,500,508,210,200,219,349,349,348
171,9468,4774,4694,16.6,49.2,49.7,48.7,48.8,49.0,48.6,11.7,11.5,11.9,5.4,5.4,5.5,3069,136.9,20349.96,4591,208,330,314,347,499,495,503,205,196,215,344,345,343
172,9517,4802,4715,16.3,49.6,50.1,49.1,49.1,49.2,48.9,11.8,11.6,12.0,5.5,5.5,5.6,3079,135.0,20760.499,4586,204,324,308,342,493,489,497,201,192,210,340,341,338
173,9489,4791,4698,15.9,50.3,50.7,49.7,49.4,49.5,49.3,11.9,11.7,12.2,5.6,5.5,5.7,3067,132.3,21125.924,4539,199,316,300,334,484,481,487,195,186,204,333,335,331
174,9493,4798,4695,15.5,50.8,51.2,50.3,49.7,49.7,49.7,12.0,11.7,12.3,5.7,5.6,5.8,3044,130.0,21314.148,4494,194,310,293,327,477,474,479,190,182,198,327,330,324
175,9500,4810,4690,15.2,51.3,51.7,50.9,50.0,49.9,50.0,12.1,11.7,12.4,5.7,5.6,5.9,3036,127.6,21795.936,4455,190,302,286,320,468,467,470,185,178,192,321,326,316
176,9495,4815,4679,14.8,51.8,52.2,51.4,50.2,50.1,50.4,12.1,11.7,12.6,5.8,5.6,6.0,3006,125.0,21961.215,4395,185,295,279,312,460,460,461,180,174,186,315,321,309
177,9462,4812,4650,14.4,52.4,52.7,52.1,50.5,50.3,50.9,12.2,11.7,12.7,5.8,5.6,6.0,2969,122.3,22271.884,4321,180,287,271,303,451,452,450,174,170,178,308,317,299
178,9441,4814,4627,14.1,53.0,53.2,52.8,50.8,50.4,51.3,12.2,11.7,12.7,5.8,5.6,6.1,2950,119.5,22754.558,4259,175,278,263,294,442,444,439,168,166,171,301,312,290
179,9453,4837,4616,13.8,53.6,53.7,53.5,51.1,50.6,51.7,12.2,11.7,12.8,5.8,5.5,6.1,2950,116.7,23388.571,4222,169,270,256,286,432,437,427,163,162,164,295,308,280
180,9447,4850,4597,13.4,54.2,54.2,54.2,51.4,50.7,52.1,12.2,11.6,12.9,5.8,5.5,6.1,2931,113.8,23804.647,4171,164,262,248,277,423,429,416,157,158,157,288,303,271
181,9431,4857,4574,13.1,54.7,54.7,54.8,51.6,50.9,52.5,12.2,11.6,12.9,5.8,5.5,6.2,2901,111.1,24179.884,4111,160,254,241,268,414,422,405,152,154,150,281,299,263
182,9418,4865,4553,12.8,55.3,55.1,55.5,51.9,51.0,52.9,12.3,11.5,13.0,5.8,5.4,6.2,2874,108.4,24613.564,4054,155,247,235,260,405,414,395,147,151,144,275,294,254
183,9414,4877,4538,12.5,55.8,55.5,56.1,52.1,51.2,53.2,12.3,11.5,13.1,5.8,5.4,6.2,2854,105.8,25102.416,4004,150,240,228,252,396,407,384,143,147,138,269,290,247
184,9399,4880,4519,12.2,56.3,56.0,56.7,52.4,51.3,53.6,12.3,11.5,13.2,5.8,5.4,6.2,2820,103.3,25385.512,3942,146,233,222,245,388,400,375,139,144,133,264,286,240
185,9393,4886,4506,11.9,56.8,56.4,57.3,52.6,51.4,53.9,12.3,11.5,13.3,5.8,5.3,6.3,2794,100.8,25880.162,3887,142,227,216,238,380,393,366,135,141,129,259,282,234
186,9365,4880,4485,11.6,57.3,56.8,57.9,52.8,51.6,54.1,12.4,11.5,13.4,5.8,5.3,6.3,2744,98.5,25938.068,3809,138,221,211,232,373,387,358,132,139,125,254,278,228
187,9338,4871,4467,11.3,57.7,57.2,58.4,53.0,51.7,54.4,12.4,11.5,13.5,5.9,5.3,6.4,2691,96.1,26150.884,3726,134,215,206,226,366,381,351,130,137,122,250,275,224
188,9306,4856,4450,11.0,58.2,57.6,58.9,53.2,51.9,54.6,12.5,11.5,13.6,5.9,5.3,6.4,2639,93.8,26303.222,3641,130,210,201,220,360,375,344,127,135,120,246,271,220
189,9278,4844,4434,10.7,58.6,58.0,59.4,53.3,52.0,54.8,12.6,11.6,13.7,5.9,5.4,6.4,2580,91.6,26363.367,3549,126,205,197,215,354,370,338,126,133,118,244,269,217
190,9256,4834,4422,10.5,59.0,58.3,59.8,53.5,52.1,55.0,12.7,11.7,13.7,6.0,5.4,6.5,2526,89.4,26533.023,3461,123,201,193,210,349,365,332,124,132,116,241,266,214
191,9233,4821,4412,10.2,59.4,58.7,60.2,53.6,52.3,55.1,12.8,11.8,13.8,6.0,5.5,6.5,2471,87.1,26632.836,3370,119,196,188,205,343,360,326,123,131,114,238,264,212
192,9222,4812,4410,10.0,59.8,59.1,60.6,53.8,52.4,55.3,12.9,11.9,13.9,6.1,5.6,6.6,2411,85.0,26684.69,3279,116,192,185,200,339,356,322,122,130,113,237,262,210
193,9202,4800,4402,9.8,60.2,59.5,61.0,53.9,52.6,55.4,13.0,12.0,13.9,6.2,5.6,6.6,2356,82.7,26859.169,3188,112,188,181,195,334,351,316,120,129,111,234,259,207
194,9192,4795,4397,9.6,60.6,59.9,61.4,54.1,52.7,55.5,13.1,12.2,14.0,6.2,5.7,6.6,2300,80.5,26974.754,3099,109,184,177,191,329,346,311,120,128,110,232,258,205
195,9181,4790,4391,9.4,61.0,60.2,61.9,54.2,52.9,55.7,13.2,12.3,14.0,6.3,5.8,6.6,2240,78.3,27051.107,3006,105,180,174,186,324,342,305,119,128,108,230,256,203
196,9166,4788,4379,9.2,61.4,60.6,62.3,54.4,53.0,55.9,13.3,12.4,14.1,6.3,5.9,6.7,2178,76.0,27114.18,2910,102,176,170,181,319,337,299,118,128,107,228,254,200
197,9156,4791,4365,9.0,61.9,61.0,62.8,54.5,53.2,56.0,13.4,12.5,14.2,6.4,6.0,6.7,2116,73.7,27205.428,2817,98,171,167,176,313,333,293,117,128,105,225,252,196
198,9141,4795,4346,8.8,62.3,61.4,63.2,54.7,53.3,56.3,13.5,12.7,14.3,6.4,6.0,6.7,2053,71.3,27298.865,2722,95,167,164,171,308,328,286,116,127,103,222,250,192
199,9127,4805,4322,8.6,62.7,61.8,63.8,54.9,53.5,56.5,13.6,12.8,14.3,6.4,6.1,6.7,2001,68.9,27637.368,2636,91,162,160,165,301,323,277,114,127,100,219,248,187
200,9143,4829,4314,8.5,63.2,62.1,64.3,55.1,53.6,56.7,13.6,12.8,14.4,6.5,6.1,6.7,1950,66.5,27874.319,2556,88,158,157,160,295,319,270,113,127,98,216,246,183
201,9104,4827,4277,8.3,63.6,62.5,64.9,55.3,53.7,57.0,13.7,12.9,14.5,6.5,6.1,6.7,1874,64.1,27723.837,2449,84,153,152,154,288,313,261,111,126,95,212,243,177
202,9074,4830,4244,8.1,64.1,62.9,65.4,55.5,53.9,57.3,13.8,13.0,14.6,6.5,6.1,6.7,1786,61.7,27442.415,2332,81,148,149,148,282,308,253,109,125,92,208,240,172
203,9067,4844,4223,8.0,64.5,63.2,65.8,55.7,54.0,57.5,13.8,13.0,14.6,6.5,6.2,6.7,1702,59.4,27233.941,2220,77,144,145,143,276,304,246,108,124,90,205,238,168
204,9028,4842,4186,7.8,64.9,63.6,66.4,55.8,54.1,57.7,13.9,13.1,14.6,6.4,6.2,6.7,1611,57.1,26818.485,2094,74,139,141,137,269,298,237,106,123,87,201,235,162
205,8996,4841,4155,7.7,65.4,64.0,66.9,56.0,54.3,57.9,13.9,13.1,14.7,6.4,6.2,6.7,1520,54.7,26449.693,1970,71,134,136,131,263,293,230,103,121,84,197,233,158
206,8973,4844,4129,7.5,65.8,64.4,67.4,56.2,54.4,58.2,14.0,13.2,14.7,6.5,6.2,6.6,1437,52.4,26168.943,1855,67,129,132,125,257,288,223,101,120,81,194,230,154
207,8951,4845,4106,7.4,66.2,64.8,67.8,56.4,54.6,58.4,14.1,13.3,14.8,6.5,6.3,6.7,1365,50.1,26094.201,1751,64,124,127,120,251,282,216,99,118,79,191,227,151
208,8934,4847,4088,7.3,66.7,65.2,68.3,56.6,54.8,58.6,14.2,13.4,14.9,6.6,6.3,6.7,1302,47.8,26166.047,1660,61,118,123,114,245,277,210,97,116,76,188,224,148
209,8909,4841,4067,7.2,67.2,65.6,68.8,56.8,55.0,58.8,14.3,13.5,15.0,6.6,6.4,6.8,1229,45.5,25899.36,1561,58,113,118,108,240,271,205,95,113,74,186,221,146
210,8889,4836,4053,7.0,67.6,66.1,69.3,57.1,55.3,59.0,14.4,13.7,15.1,6.7,6.5,6.9,1158,43.3,25728.698,1466,55,108,113,103,235,266,201,92,111,72,183,218,145
211,8880,4833,4047,6.9,68.1,66.5,69.7,57.3,55.5,59.2,14.6,13.8,15.3,6.8,6.6,7.0,1089,41.1,25527.736,1373,52,103,108,98,230,260,197,90,108,70,181,215,144
212,8888,4836,4052,6.9,68.5,67.0,70.2,57.5,55.8,59.4,14.7,13.9,15.4,7.0,6.7,7.2,1017,39.0,25144.116,1282,49,98,104,93,225,255,193,87,105,68,179,212,143
213,8884,4830,4055,6.8,68.9,67.4,70.6,57.7,56.0,59.5,14.8,14.1,15.5,7.1,6.8,7.3,930,36.9,24267.419,1173,46,93,99,87,220,249,189,85,102,66,177,208,142
214,8936,4851,4085,6.7,69.3,67.8,70.9,57.9,56.2,59.7,14.9,14.2,15.6,7.1,6.9,7.4,878,34.9,24397.289,1099,43,89,95,83,216,244,185,83,100,64,175,205,141
215,9005,4879,4125,6.7,69.7,68.2,71.3,58.1,56.4,59.8,15.0,14.3,15.7,7.2,7.0,7.4,832,33.0,24490.706,1034,41,85,90,78,211,238,182,80,97,62,172,201,140
216,9073,4908,4165,6.7,70.1,68.6,71.6,58.2,56.7,59.9,15.1,14.4,15.7,7.3,7.0,7.5,768,31.2,23804.081,956,39,80,86,74,207,233,178,78,94,60,170,198,139
217,9169,4953,4216,6.7,70.4,69.0,72.0,58.4,56.9,60.1,15.1,14.5,15.8,7.4,7.1,7.6,727,29.6,23985.007,900,36,76,82,70,202,228,174,75,91,58,167,195,137
218,9264,5001,4263,6.7,70.7,69.3,72.3,58.6,57.1,60.2,15.2,14.5,15.9,7.4,7.1,7.6,678,28.0,23531.725,838,34,73,79,66,197,223,170,73,89,56,164,191,135
219,10118,5550,4569,7.2,70.2,68.5,71.9,57.8,56.1,59.7,14.5,13.6,15.4,6.9,6.5,7.3,626,26.5,22934.934,774,33,68,73,62,202,229,172,71,87,55,171,200,139
220,13094,7025,6069,9.3,67.3,65.9,68.8,54.7,53.2,56.3,12.5,11.9,13.1,6.0,5.7,6.2,587,25.2,22800.952,724,31,73,80,66,247,278,213,92,111,72,220,252,184
221,9373,5066,4307,6.6,71.7,70.2,73.3,59.1,57.6,60.8,15.4,14.7,16.0,7.5,7.3,7.7,556,23.9,22790.367,682,29,63,69,57,183,208,155,67,82,50,154,181,126
222,9507,5145,4362,6.6,72.0,70.5,73.6,59.3,57.8,60.9,15.4,14.8,16.1,7.5,7.3,7.7,525,22.6,22748.701,643,28,60,66,54,178,204,150,65,80,49,151,178,122
